step,epoch,total_loss,ce_loss,sim_loss,cosine_similarity
0,0.000,3.485452,2.490320,0.995132,0.004868
0,0.000,2.653903,1.662829,0.991074,0.008926
0,0.000,2.849823,1.839899,1.009924,-0.009924
0,0.000,4.535620,3.603130,0.932490,0.067510
0,0.000,3.187742,2.205537,0.982205,0.017795
0,0.000,4.097218,3.078584,1.018633,-0.018633
0,0.000,4.613904,3.626257,0.987647,0.012353
0,0.000,3.165593,2.187596,0.977997,0.022003
1,0.010,3.621994,2.618157,1.003838,-0.003838
1,0.010,2.733678,1.740791,0.992887,0.007113
1,0.010,3.376602,2.380721,0.995881,0.004119
1,0.010,3.217899,2.222223,0.995677,0.004323
1,0.010,3.220503,2.237906,0.982598,0.017402
1,0.010,3.639018,2.643577,0.995440,0.004560
1,0.010,3.090126,2.100684,0.989442,0.010558
1,0.010,3.474450,2.462707,1.011743,-0.011743
2,0.021,2.838935,1.839675,0.999260,0.000740
2,0.021,4.044824,3.070949,0.973875,0.026125
2,0.021,3.524895,2.529149,0.995746,0.004254
2,0.021,3.385960,2.380097,1.005863,-0.005863
2,0.021,3.991729,2.993717,0.998012,0.001988
2,0.021,3.316582,2.331805,0.984776,0.015224
2,0.021,4.008927,3.069723,0.939204,0.060796
2,0.021,3.202731,2.233340,0.969391,0.030609
3,0.031,2.895236,1.910968,0.984269,0.015731
3,0.031,4.665917,3.683371,0.982547,0.017453
3,0.031,3.124321,2.139758,0.984564,0.015436
3,0.031,3.089332,2.113848,0.975484,0.024516
3,0.031,3.767697,2.765394,1.002303,-0.002303
3,0.031,3.095835,2.102172,0.993663,0.006337
3,0.031,3.496109,2.494004,1.002104,-0.002104
3,0.031,3.327152,2.342403,0.984750,0.015250
