step,epoch,total_loss,ce_loss,sim_loss,cosine_similarity
0,0.000,3.485452,2.490320,0.995132,0.004868
0,0.000,2.653903,1.662829,0.991074,0.008926
0,0.000,2.849823,1.839899,1.009924,-0.009924
0,0.000,4.535620,3.603130,0.932490,0.067510
0,0.000,3.187742,2.205537,0.982205,0.017795
0,0.000,4.097218,3.078584,1.018633,-0.018633
0,0.000,4.613904,3.626257,0.987647,0.012353
0,0.000,3.165593,2.187596,0.977997,0.022003
1,0.010,3.621994,2.618157,1.003838,-0.003838
1,0.010,2.733678,1.740791,0.992887,0.007113
1,0.010,3.376602,2.380721,0.995881,0.004119
1,0.010,3.217899,2.222223,0.995677,0.004323
1,0.010,3.220503,2.237906,0.982598,0.017402
1,0.010,3.639018,2.643577,0.995440,0.004560
1,0.010,3.090126,2.100684,0.989442,0.010558
1,0.010,3.474450,2.462707,1.011743,-0.011743
2,0.021,2.842587,1.843443,0.999144,0.000856
2,0.021,4.037634,3.063576,0.974058,0.025942
2,0.021,3.528887,2.533179,0.995708,0.004292
2,0.021,3.390097,2.384266,1.005831,-0.005831
2,0.021,3.995339,2.997463,0.997876,0.002124
2,0.021,3.314963,2.330370,0.984592,0.015408
2,0.021,4.014162,3.074849,0.939313,0.060687
2,0.021,3.210400,2.240667,0.969733,0.030267
3,0.031,2.897674,1.913259,0.984415,0.015585
3,0.031,4.665654,3.682891,0.982763,0.017237
3,0.031,3.122877,2.138364,0.984514,0.015486
3,0.031,3.088201,2.113053,0.975148,0.024852
3,0.031,3.756185,2.753737,1.002448,-0.002448
3,0.031,3.099609,2.105803,0.993806,0.006194
3,0.031,3.488934,2.487485,1.001448,-0.001448
3,0.031,3.327834,2.342855,0.984979,0.015021
