step,epoch,total_loss,ce_loss,sim_loss,cosine_similarity
0,0.000,3.485452,2.490320,0.995132,0.004868
0,0.000,2.653903,1.662829,0.991074,0.008926
0,0.000,2.849823,1.839899,1.009924,-0.009924
0,0.000,4.535620,3.603130,0.932490,0.067510
0,0.000,3.187742,2.205537,0.982205,0.017795
0,0.000,4.097218,3.078584,1.018633,-0.018633
0,0.000,4.613904,3.626257,0.987647,0.012353
0,0.000,3.165593,2.187596,0.977997,0.022003
1,0.010,3.621994,2.618157,1.003838,-0.003838
1,0.010,2.733678,1.740791,0.992887,0.007113
1,0.010,3.376602,2.380721,0.995881,0.004119
1,0.010,3.217899,2.222223,0.995677,0.004323
1,0.010,3.220503,2.237906,0.982598,0.017402
1,0.010,3.639018,2.643577,0.995440,0.004560
1,0.010,3.090126,2.100684,0.989442,0.010558
1,0.010,3.474450,2.462707,1.011743,-0.011743
2,0.021,2.841794,1.842702,0.999092,0.000908
2,0.021,4.040301,3.066303,0.973997,0.026003
2,0.021,3.522002,2.526361,0.995641,0.004359
2,0.021,3.387797,2.382065,1.005732,-0.005732
2,0.021,3.991733,2.993908,0.997825,0.002175
2,0.021,3.314396,2.329832,0.984564,0.015436
2,0.021,4.012179,3.073133,0.939047,0.060953
2,0.021,3.208382,2.239235,0.969147,0.030853
3,0.031,2.900014,1.915602,0.984412,0.015588
3,0.031,4.667607,3.685185,0.982422,0.017578
3,0.031,3.121704,2.137052,0.984653,0.015347
3,0.031,3.091251,2.116301,0.974950,0.025050
3,0.031,3.772823,2.770838,1.001984,-0.001984
3,0.031,3.097388,2.103771,0.993617,0.006383
3,0.031,3.491912,2.489871,1.002041,-0.002041
3,0.031,3.331403,2.346441,0.984961,0.015039
