step,epoch,total_loss,ce_loss,sim_loss,cosine_similarity
0,0.000,3.485452,2.490320,0.995132,0.004868
0,0.000,2.653903,1.662829,0.991074,0.008926
0,0.000,2.849823,1.839899,1.009924,-0.009924
0,0.000,4.535620,3.603130,0.932490,0.067510
0,0.000,3.187742,2.205537,0.982205,0.017795
0,0.000,4.097218,3.078584,1.018633,-0.018633
0,0.000,4.613904,3.626257,0.987647,0.012353
0,0.000,3.165593,2.187596,0.977997,0.022003
1,0.010,3.621994,2.618157,1.003838,-0.003838
1,0.010,2.733678,1.740791,0.992887,0.007113
1,0.010,3.376602,2.380721,0.995881,0.004119
1,0.010,3.217899,2.222223,0.995677,0.004323
1,0.010,3.220503,2.237906,0.982598,0.017402
1,0.010,3.639018,2.643577,0.995440,0.004560
1,0.010,3.090126,2.100684,0.989442,0.010558
1,0.010,3.474450,2.462707,1.011743,-0.011743
2,0.021,2.846670,1.847728,0.998942,0.001058
2,0.021,4.043389,3.069272,0.974117,0.025883
2,0.021,3.526708,2.531032,0.995676,0.004324
2,0.021,3.387898,2.382028,1.005870,-0.005870
2,0.021,3.992752,2.994942,0.997810,0.002190
2,0.021,3.312152,2.327559,0.984593,0.015407
2,0.021,4.010293,3.070916,0.939377,0.060623
2,0.021,3.211630,2.241809,0.969821,0.030179
3,0.031,2.891304,1.907262,0.984042,0.015958
3,0.031,4.660238,3.677778,0.982459,0.017541
3,0.031,3.124166,2.139458,0.984708,0.015292
3,0.031,3.085109,2.109631,0.975477,0.024523
3,0.031,3.769049,2.767117,1.001932,-0.001932
3,0.031,3.096270,2.102533,0.993737,0.006263
3,0.031,3.490550,2.488643,1.001906,-0.001906
3,0.031,3.324101,2.338999,0.985102,0.014898
